engine,method,percent,run_id,bench_n,success_rate,avg_moves,avg_nodes,avg_time
learned,mlp,80,run_001,50,1.0,21.9,1094.32,0.02487136399897281
learned,mlp,80,run_002,50,1.0,21.9,1357.44,0.032079531999188476
learned,mlp,80,run_003,50,1.0,21.9,883.16,0.01886609000270255
learned,mlp,80,run_004,50,1.0,21.94,385.06,0.009822770000318996
learned,mlp,80,run_005,50,1.0,21.9,450.08,0.010039462001295761
learned,mlp,80,run_006,50,1.0,21.9,735.22,0.016419222000986337
learned,mlp,80,run_007,50,1.0,21.9,642.9,0.015007456000312232
learned,mlp,80,run_008,50,1.0,21.9,434.74,0.00938010200043209
learned,mlp,80,run_009,50,1.0,21.94,1217.48,0.026343431999557652
learned,mlp,80,run_010,50,1.0,21.9,369.68,0.00900545799988322
learned,mlp,80,run_011,50,1.0,21.9,671.54,0.015134870001347736
learned,mlp,80,run_012,50,1.0,21.9,491.32,0.011502763999160379
learned,mlp,80,run_013,50,1.0,21.9,790.14,0.020562540001119487
learned,mlp,80,run_014,50,1.0,21.9,596.1,0.014254625996109098
learned,mlp,80,run_015,50,1.0,21.9,685.5,0.014992693998501637
learned,mlp,90,run_001,50,1.0,21.9,456.02,0.009149449999094941
learned,mlp,90,run_002,50,1.0,21.9,627.12,0.01430738199967891
learned,mlp,90,run_003,50,1.0,21.9,433.22,0.009702220001490786
learned,mlp,90,run_004,50,1.0,21.9,707.42,0.017524365996941925
learned,mlp,90,run_005,50,1.0,21.9,295.66,0.005413497998379171
learned,mlp,90,run_006,50,1.0,21.9,1093.28,0.024487830000580288
learned,mlp,90,run_007,50,1.0,21.9,736.74,0.017409117997740396
learned,mlp,90,run_008,50,1.0,21.9,553.82,0.011168885997030885
learned,mlp,90,run_009,50,1.0,21.9,485.1,0.009371151998639107
learned,mlp,90,run_010,50,1.0,21.9,561.9,0.01263377199822571
learned,mlp,90,run_011,50,1.0,21.9,717.68,0.01633456599782221
learned,mlp,90,run_012,50,1.0,21.9,922.22,0.017887946001137606
learned,mlp,90,run_013,50,1.0,21.9,537.44,0.012051185998134315
learned,mlp,90,run_014,50,1.0,21.9,711.64,0.017629250000463798
